"UC","Pontos_Totais","Riqueza_Observada","Riqueza_30_pontos","Riqueza_50_pontos","Riqueza_100_pontos","Riqueza_500_pontos","Riqueza_1000_pontos","Riqueza_2500_pontos","Riqueza_5000_pontos","Completude_30","Completude_100","Completude_500"
"37",9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
